CX_US17275RBJ05_USD,US17275RBJ05,CISCO SYSTEMS INC,Technology,Corporate,Industrials,98.7317 USD,CX_US17275RBJ05_USD,17275RBJ0=RRPS,US,"CISCO SYSTEMS, INC."
CX_US842587CU99_USD,US842587CU99,SOUTHERN COMPANY (THE),Electric,Corporate,Financials,98.7343 USD,CX_US842587CU99_USD,842587CU9=RRPS,US,THE SOUTHERN COMPANY
CX_US87612EBA38_USD,US87612EBA38,TARGET CORP,Consumer Cyclical,Corporate,Services,98.7356 USD,CX_US87612EBA38_USD,87612EBA3=RRPS,US,TARGET CORPORATION
CX_US857477AV59_USD,US857477AV59,STATE STREET CORP,Banking,Corporate,Financials,98.7364 USD,CX_US857477AV59_USD,857477AV5=RRPS,US,STATE STREET CORPORATION
CX_US166764AB69_USD,US166764AB69,CHEVRON CORP,Energy,Corporate,Industrials,98.7409 USD,CX_US166764AB69_USD,166764AB6=RRPS,US,CHEVRON CORPORATION
CX_US92912EAC75_USD,US92912EAC75,VALEANT PHARMACEUTICALS INTERNATIO 144A,Consumer Non-Cyclical,Corporate,Services,98.7438 USD,CX_US92912EAC75_USD,92912EAC7=RRPS,CA,"VALEANT PHARMACEUTICALS INTERNATIONAL, INC."
CX_US718172AT63_USD,US718172AT63,PHILIP MORRIS INTERNATIONAL INC,Consumer Non-Cyclical,Corporate,Financials,98.756 USD,CX_US718172AT63_USD,718172AT6=RRPS,US,Philip Morris International Inc.
CX_US912828Q780_USD,US912828Q780,TREASURY NOTE,Treasuries,Govt/Treasury/Central Bank,Government Notes/Bonds,98.7696 USD,CX_US912828Q780_USD,912828Q78=RRPS,US,Federal Government of United States of America
CX_US82481LAB53_USD,US82481LAB53,SHIRE ACQUISITIONS INVESTMENTS IRE,Consumer Non-Cyclical,Corporate,Financials,98.7778 USD,CX_US82481LAB53_USD,82481LAB5=RRPS,IE,Shire Acquisitions Investments Ireland DAC
CX_US00287YAV11_USD,US00287YAV11,ABBVIE INC,Consumer Non-Cyclical,Corporate,Services,98.7951 USD,CX_US00287YAV11_USD,00287YAV1=RRPS,US,ABBVIE INC.
CX_US742718EQ89_USD,US742718EQ89,PROCTER & GAMBLE COMPANY,Consumer Non-Cyclical,Corporate,Industrials,98.7958 USD,CX_US742718EQ89_USD,742718EQ8=RRPS,US,THE PROCTER & GAMBLE COMPANY
CX_US68389XBL82_USD,US68389XBL82,ORACLE CORPORATION,Technology,Corporate,Services,98.802 USD,CX_US68389XBL82_USD,68389XBL8=RRPS,US,ORACLE CORPORATION
CX_US914906AS13_USD,US914906AS13,UNIVISION COMMUNICATIONS INC 144A,Communications,Corporate,Services,98.8101 USD,CX_US914906AS13_USD,914906AS1=RRPS,US,UNIVISION COMMUNICATIONS INC.
CX_US126408GY39_USD,US126408GY39,CSX CORP,Transportation,Corporate,Industrials,98.8146 USD,CX_US126408GY39_USD,126408GY3=RRPS,US,CSX Corporation
CX_US50540RAQ56_USD,US50540RAQ56,LABORATORY CORPORATION OF AMERICA,Consumer Non-Cyclical,Corporate,Services,98.8352 USD,CX_US50540RAQ56_USD,50540RAQ5=RRPS,US,LABORATORY CORPORATION OF AMERICA HOLDINGS
CX_US404280BF56_USD,US404280BF56,HSBC HOLDINGS PLC,Banking,Corporate,Financials,98.8391 USD,CX_US404280BF56_USD,404280BF5=RRPS,GB,HSBC HOLDINGS PLC
CX_US00287YAX76_USD,US00287YAX76,ABBVIE INC,Consumer Non-Cyclical,Corporate,Services,98.841 USD,CX_US00287YAX76_USD,00287YAX7=RRPS,US,ABBVIE INC.
CX_US961214CV30_USD,US961214CV30,WESTPAC BANKING CORP,Banking,Corporate,Financials,98.8521 USD,CX_US961214CV30_USD,961214CV3=RRPS,AU,WESTPAC BANKING CORPORATION
CX_US05565QCD88_USD,US05565QCD88,BP CAPITAL MARKETS PLC,Energy,Corporate,Financials,98.8572 USD,CX_US05565QCD88_USD,05565QCD8=RRPS,GB,BP CAPITAL MARKETS P.L.C.
CX_US88023UAG67_USD,US88023UAG67,TEMPUR SEALY INTERNATIONAL INC,Consumer Non-Cyclical,Corporate,Industrials,98.8653 USD,CX_US88023UAG67_USD,88023UAG6=RRPS,US,"TEMPUR SEALY INTERNATIONAL, INC."
CX_US871829BC08_USD,US871829BC08,SYSCO CORPORATION,Consumer Non-Cyclical,Corporate,Industrials,98.8733 USD,CX_US871829BC08_USD,871829BC0=RRPS,US,SYSCO CORPORATION
CX_US12543DAU46_USD,US12543DAU46,CHS/COMMUNITY HEALTH SYSTEMS INC,Consumer Non-Cyclical,Corporate,Services,98.8844 USD,CX_US12543DAU46_USD,12543DAU4=RRPS,US,"CHS/COMMUNITY HEALTH SYSTEMS, INC."
CX_US46623EKG34_USD,US46623EKG34,JPMORGAN CHASE & CO MTN,Banking,Corporate,Financials,98.8846 USD,CX_US46623EKG34_USD,46623EKG3=RRPS,US,JPMORGAN CHASE & CO.
CX_US12189LAZ40_USD,US12189LAZ40,BURLINGTON NORTHERN SANTA FE LLC,Transportation,Corporate,Financials,98.8913 USD,CX_US12189LAZ40_USD,12189LAZ4=RRPS,US,"BURLINGTON NORTHERN SANTA FE, LLC"
CX_US90331HMS93_USD,US90331HMS93,US BANK NATIONAL ASSOCIATION,Banking,Corporate,Financials,98.9014 USD,CX_US90331HMS93_USD,90331HMS9=RRPS,US,U.S. Bank National Association
CX_US822582BQ44_USD,US822582BQ44,SHELL INTERNATIONAL FINANCE BV,Energy,Corporate,Financials,98.9163 USD,CX_US822582BQ44_USD,822582BQ4=RRPS,NL,Shell International Finance B.V.
CX_US037833AY62_USD,US037833AY62,APPLE INC,Technology,Corporate,Industrials,98.9344 USD,CX_US037833AY62_USD,037833AY6=RRPS,US,APPLE INC.
CX_US912828XB14_USD,US912828XB14,TREASURY NOTE,Treasuries,Govt/Treasury/Central Bank,Government Notes/Bonds,98.9367 USD,CX_US912828XB14_USD,912828XB1=,US,Federal Government of United States of America
CX_US912828TH30_USD,US912828TH30,TREASURY NOTE,Treasuries,Govt/Treasury/Central Bank,Government Notes/Bonds,98.9427 USD,CX_US912828TH30_USD,912828TH3=RRPS,US,Federal Government of United States of America
CX_US912810RU43_USD,US912810RU43,TREASURY BOND (OLD),Treasuries,Govt/Treasury/Central Bank,Government Notes/Bonds,98.9433 USD,CX_US912810RU43_USD,912810RU4=RRPS,US,Federal Government of United States of America
CX_US035242AA44_USD,US035242AA44,ANHEUSER-BUSCH INBEV FINANCE INC,Consumer Non-Cyclical,Corporate,Financials,98.9566 USD,CX_US035242AA44_USD,035242AA4=RRPS,US,Anheuser-Busch InBev Finance Inc.
CX_US68389XBK00_USD,US68389XBK00,ORACLE CORPORATION,Technology,Corporate,Services,98.9575 USD,CX_US68389XBK00_USD,68389XBK0=RRPS,US,ORACLE CORPORATION
CX_US345397XZ10_USD,US345397XZ10,FORD MOTOR CREDIT COMPANY LLC,Consumer Cyclical,Corporate,Financials,98.962 USD,CX_US345397XZ10_USD,345397XZ1=RRPS,US,FORD MOTOR CREDIT COMPANY LLC
CX_US89236TCZ66_USD,US89236TCZ66,TOYOTA MOTOR CREDIT CORP MTN,Consumer Cyclical,Corporate,Financials,98.9838 USD,CX_US89236TCZ66_USD,89236TCZ6=RRPS,US,TOYOTA MOTOR CREDIT CORPORATION
CX_US06406FAB94_USD,US06406FAB94,BANK OF NEW YORK MELLON CORP/THE MTN,Banking,Corporate,Financials,98.9939 USD,CX_US06406FAB94_USD,06406FAB9=RRPS,US,THE BANK OF NEW YORK MELLON CORPORATION
CX_US05565QDD79_USD,US05565QDD79,BP CAPITAL MARKETS PLC,Energy,Corporate,Financials,98.994 USD,CX_US05565QDD79_USD,05565QDD7=RRPS,GB,BP CAPITAL MARKETS P.L.C.
CX_US887317AW59_USD,US887317AW59,TIME WARNER INC,Communications,Corporate,Services,98.9947 USD,CX_US887317AW59_USD,887317AW5=RRPS,US,TIME WARNER INC.
CX_US80281LAE56_USD,US80281LAE56,SANTANDER UK GROUP HOLDINGS PLC,Banking,Corporate,Financials,98.9952 USD,CX_US80281LAE56_USD,80281LAE5=RRPS,GB,SANTANDER UK GROUP HOLDINGS PLC
CX_US04621X1081_NYQ,US04621X1081,ASSURANT INC,Financials,Equities,Ordinary shares,99 USD,CX_US04621X1081_NYQ,AIZ,US,"ASSURANT, INC."
CX_US893526DM20_USD,US893526DM20,TRANSCANADA PIPELINES LIMITED,Energy,Corporate,Utilities,99.013 USD,CX_US893526DM20_USD,893526DM2=RRPS,CA,TransCanada PipeLines Limited
CX_US05531FAV58_USD,US05531FAV58,BB&T CORP MTN,Banking,Corporate,Financials,99.025 USD,CX_US05531FAV58_USD,05531FAV5=RRPS,US,BB&T Corporation
CX_US983130AU95_USD,US983130AU95,WYNN LAS VEGAS LLC / WYNN LAS VEGA 144A,Consumer Cyclical,Corporate,Services,99.0389 USD,CX_US983130AU95_USD,983130AU9=RRPS,US,"WYNN LAS VEGAS, LLC"
CX_US47232MAB81_USD,US47232MAB81,JEFFERIES FIN LLC / JFIN 144A,Brokerage/Asset Managers/Exchanges,Corporate,Financials,99.0399 USD,CX_US47232MAB81_USD,47232MAB8=RRPS,US,JEFFERIES FINANCE LLC
CX_US887317BB04_USD,US887317BB04,TIME WARNER INC,Communications,Corporate,Services,99.0496 USD,CX_US887317BB04_USD,887317BB0=RRPS,US,TIME WARNER INC.
CX_US912828VA58_USD,US912828VA58,TREASURY NOTE,Treasuries,Govt/Treasury/Central Bank,Government Notes/Bonds,99.0615 USD,CX_US912828VA58_USD,912828VA5=RRPS,US,Federal Government of United States of America
CX_US14042RBT77_USD,US14042RBT77,CAPITAL ONE NA,Banking,Corporate,Financials,99.0764 USD,CX_US14042RBT77_USD,14042RBT7=RRPS,US,"CAPITAL ONE, NATIONAL ASSOCIATION"
CX_US912828TN08_USD,US912828TN08,TREASURY NOTE,Treasuries,Govt/Treasury/Central Bank,Government Notes/Bonds,99.0781 USD,CX_US912828TN08_USD,912828TN0=RRPS,US,Federal Government of United States of America
CX_US713448DF24_USD,US713448DF24,PEPSICO INC,Consumer Non-Cyclical,Corporate,Industrials,99.0808 USD,CX_US713448DF24_USD,713448DF2=RRPS,US,"Pepsico, Inc."
CX_US740189AG06_USD,US740189AG06,PRECISION CASTPARTS CORP.,Capital Goods,Corporate,Industrials,99.086 USD,CX_US740189AG06_USD,740189AG0=RRPS,US,PRECISION CASTPARTS CORP.
CX_US369550AU23_USD,US369550AU23,GENERAL DYNAMICS CORPORATION,Capital Goods,Corporate,Industrials,99.0874 USD,CX_US369550AU23_USD,369550AU2=RRPS,US,GENERAL DYNAMICS CORPORATION
CX_US002824BA72_USD,US002824BA72,ABBOTT LABORATORIES,Consumer Non-Cyclical,Corporate,Services,99.0903 USD,CX_US002824BA72_USD,002824BA7=RRPS,US,ABBOTT LABORATORIES
CX_US842587CS44_USD,US842587CS44,SOUTHERN COMPANY (THE),Electric,Corporate,Financials,99.0918 USD,CX_US842587CS44_USD,842587CS4=RRPS,US,THE SOUTHERN COMPANY
CX_US912828L328_USD,US912828L328,TREASURY NOTE,Treasuries,Govt/Treasury/Central Bank,Government Notes/Bonds,99.0937 USD,CX_US912828L328_USD,912828L32=RRPS,US,Federal Government of United States of America
CX_US912810RB61_USD,US912810RB61,TREASURY BOND,Treasuries,Govt/Treasury/Central Bank,Government Notes/Bonds,99.0995 USD,CX_US912810RB61_USD,912810RB6=RRPS,US,Federal Government of United States of America
CX_US06738EAE59_USD,US06738EAE59,BARCLAYS PLC,Banking,Corporate,Financials,99.1122 USD,CX_US06738EAE59_USD,06738EAE5=RRPS,GB,BARCLAYS PLC
CX_US22822VAC54_USD,US22822VAC54,CROWN CASTLE INTERNATIONAL CORP,Communications,Corporate,Financials,99.1132 USD,CX_US22822VAC54_USD,22822VAC5=RRPS,US,CROWN CASTLE INTERNATIONAL CORP.
CX_US85771PAL67_USD,US85771PAL67,STATOIL ASA,Owned No Guarantee,Corporate,Industrials,99.1211 USD,CX_US85771PAL67_USD,85771PAL6=RRPS,NO,STATOIL ASA
